run_id,seed,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,expected_global_cooperation,observed_global_cooperation,num_intercommunity_edges,corr_size_cooperation,corr_degree_cooperation,intercommunity_mutual_coop_rate,mean_external_payoff,mean_b_eff,std_b_eff,b,Tin,social_adaptation_rate,epsilon_perception,epsilon_execution,delta_D,delta_pi,rho,num_epochs,rounds_per_epoch
5,501000,0.3730695179237874,0.073382906237437,2.8574826477967896,0.3832296618865679,0.32,1134,-0.005940812536074,0.0599184855810675,0.1058201058201058,10.005,1.5157624983341085,0.0278422408323805,1.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120
0,1000,0.3612874057028572,0.0581001594847816,2.7937468518034763,0.4083330832745069,0.4,1123,0.0240242338859177,0.0330464133950849,0.1495992876224399,11.67,1.5248712671350204,0.0270464017964071,1.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120
8,801000,0.3557784262471488,0.0564830956711641,2.7551557323185865,0.4049752890915901,0.4,1097,-0.0468773760468983,-0.0810978164445029,0.1513217866909753,11.195,1.5166934578976707,0.0268653434330742,1.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120
9,901000,0.3550164229144408,0.0656123221916354,2.750789202302221,0.3935717490597058,0.42,1055,-0.0838192169990291,-0.1592859255676741,0.1696682464454976,11.635,1.5343053037858485,0.026328132109582,1.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120
1,101000,0.3605073396380919,0.0648942261811855,2.7957483144721724,0.3920807743167152,0.44,1151,-0.0240284809353947,0.0358227724107111,0.1737619461337967,12.445,1.5320727271551693,0.0254437942357865,1.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120
7,701000,0.3689734707376969,0.0653430266959342,2.866408269836802,0.4202278787723435,0.46,1098,-0.2013239297490375,-0.0487134175005188,0.2112932604735883,12.755,1.5465411050713238,0.0303002329867975,1.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120
4,401000,0.3845028488026386,0.07191090731595,2.946702343404408,0.431025342685397,0.52,1155,-0.1944633853996937,-0.1123803333149302,0.277056277056277,15.28,1.5354622461077378,0.0257556168781177,1.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120
3,301000,0.3530521258920782,0.0599833404451259,2.7313722384098766,0.3973724264086141,0.47,1150,-0.043457824439991,-0.0168141722524278,0.2113043478260869,13.455,1.5192112505575008,0.0264541425862378,1.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120
6,601000,0.3578885618095802,0.0610639579825145,2.7943159721944983,0.3696493935629829,0.35,1133,-0.009806458514571,-0.0194973975101679,0.1262135922330097,10.6,1.5502890610841251,0.0267201597131806,1.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120
2,201000,0.3666456538537159,0.0667195538092483,2.804134166145884,0.3810538557025313,0.39,1106,-0.1688297451670777,-0.0735005496502198,0.1573236889692585,11.19,1.505538868021619,0.0279116599976342,1.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120
