round,mean_cooperation,std_cooperation,min_cooperation,max_cooperation,mean_payoff,std_payoff
126,0.46404804574773545,0.03022167327002306,0.3905325443786982,0.5268817204301075,8.44215384889306,0.3444808491105848
127,0.47170468908702623,0.032464889557462545,0.4057971014492754,0.5182481751824818,8.507247639406868,0.37455387820897307
128,0.4727656377530757,0.03288140253101178,0.4146341463414634,0.5283842794759825,8.525973594723688,0.28609100540275906
129,0.478917063587094,0.03239353980372659,0.39271255060728744,0.5288888888888889,8.55371842839875,0.3600008197150967
130,0.472578445465671,0.03511407298515797,0.38866396761133604,0.5283842794759825,8.501321059193542,0.47099565752015443
131,0.4660852921746236,0.034135506166490984,0.3765432098765432,0.5189393939393939,8.528831294537538,0.39291333016822716
132,0.4738485824215681,0.03206506333832047,0.4011299435028249,0.5222222222222223,8.583970346517507,0.38383801990544286
133,0.47034659048946936,0.04087258598786683,0.3765432098765432,0.5348837209302325,8.508688326243165,0.37299112933644724
134,0.4735372114884706,0.038402606302606924,0.39644970414201186,0.5397923875432526,8.547854590286999,0.3958172532485271
135,0.47539973673099545,0.040940570631934736,0.3832599118942731,0.5416666666666666,8.558577529584992,0.33664292640057136
136,0.4776246219540704,0.03648389403215408,0.40942028985507245,0.5416666666666666,8.63608137919714,0.3038072667081764
137,0.4731012884775655,0.039797326002991004,0.37681159420289856,0.5509259259259259,8.519704551373943,0.37680385400769917
138,0.47986302220283605,0.04220607115742065,0.391304347826087,0.5568181818181818,8.600886995193047,0.40504090411779187
139,0.4847990593346438,0.03854210789641003,0.40086206896551724,0.5606060606060606,8.556691498932897,0.3403929610942232
140,0.4838890149937714,0.039203831361559624,0.38768115942028986,0.5562130177514792,8.580518568373416,0.37505192170303425
141,0.4842584743261128,0.04064832364135406,0.40086206896551724,0.5562130177514792,8.600601447319445,0.4175168242528992
142,0.4819579807238214,0.04036433582511461,0.4224137931034483,0.5634328358208955,8.554078260799994,0.37043348883399657
143,0.47732481109764807,0.046869041945470265,0.39555555555555555,0.5686274509803921,8.572771125906828,0.384473133519776
144,0.46989205107453935,0.037453665305974305,0.39655172413793105,0.5411764705882353,8.49755181706464,0.36143152507452325
145,0.46375293916159527,0.0322431036419877,0.41295546558704455,0.5265151515151515,8.464658611860818,0.3682546583443692
146,0.47461691727984134,0.034635291423294697,0.4238095238095238,0.5680473372781065,8.586894768692373,0.34072920371603915
147,0.469890680453853,0.03744984685229626,0.3952380952380952,0.5562130177514792,8.487183230138449,0.39778766186319237
148,0.4714994962163657,0.03600993147601809,0.4,0.5680473372781065,8.513133462477967,0.384914872176068
149,0.46635870577013183,0.03540640877844997,0.39919354838709675,0.5680473372781065,8.510208481348826,0.38753456583893287
150,0.46350561638301857,0.03485008283121613,0.40476190476190477,0.5454545454545454,8.457521104897292,0.30837494013622113
151,0.4587604568477843,0.040186862946047786,0.36666666666666664,0.5502958579881657,8.458959581565232,0.34334527765151984
152,0.4571281921884029,0.03866436530893376,0.36666666666666664,0.5294117647058824,8.406081964524482,0.45927903547785154
153,0.4596997682810455,0.04013713791786104,0.38095238095238093,0.5397923875432526,8.400078037837934,0.3946985282260381
154,0.461199440418843,0.037853912003868076,0.3719512195121951,0.5337423312883436,8.418728864115563,0.34763426726402563
155,0.46223435902950344,0.03513020889286605,0.3719512195121951,0.50920245398773,8.449231136665066,0.3542958441755946
156,0.4629504694361843,0.03694532535322767,0.3780487804878049,0.5402298850574713,8.474834306293596,0.41443510359045627
157,0.45832545494339416,0.03892812164446732,0.4012345679012346,0.5402298850574713,8.464833122650086,0.38830565570461684
158,0.45950130876732204,0.03406154683165757,0.3780487804878049,0.524904214559387,8.457994128439662,0.4198573619271292
