run_id,seed,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,expected_global_cooperation,observed_global_cooperation,num_intercommunity_edges,corr_size_cooperation,corr_degree_cooperation,intercommunity_mutual_coop_rate,mean_external_payoff,mean_b_eff,std_b_eff,corr_climate_cooperation,std_climate,avg_degree,std_b_base,b,Tin,social_adaptation_rate,epsilon_perception,epsilon_execution,delta_D,delta_pi,rho,num_epochs,rounds_per_epoch,het_b_lo,het_b_hi,spread,base_prob
10,1001000,0.2781572853297321,0.0695028608727115,3.159901263292673,0.3157395876720073,0.35,153,-0.0169045245308809,0.1312587950031906,0.0980392156862745,1.23,2.448396949954597,0.5335955517362488,0.0888885445394929,0.2875968363068223,3.06,0.5335955517362488,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.02
11,1101000,0.2719996999565722,0.0709178638446362,3.064964743257365,0.3161667604838191,0.29,155,0.1082892257250982,0.0067310001368604,0.1225806451612903,1.295,2.4422455565598,0.5429935114390992,0.054095699211735,0.3153500804867716,3.1,0.5429935114390992,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.02
13,1301000,0.2810789147633931,0.0721035898980739,3.194862599980385,0.3321597095294407,0.28,142,-0.096147399670473,-0.0086457905827234,0.0985915492957746,1.075,2.498701083160717,0.6003096917384062,-0.0465478721229402,0.2994356209245115,2.84,0.6003096917384062,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.02
19,1901000,0.2887127282006184,0.0598717762580784,3.2288697412573697,0.2945870453374722,0.28,140,-0.0171432670116763,-0.1344552434146785,0.0357142857142857,0.97,2.394764879049376,0.5639423250376029,-0.0214178183127544,0.2448906756323568,2.8,0.5639423250376029,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.02
12,1201000,0.2955889351730199,0.0583411865914834,3.300945445809264,0.3152204059640906,0.29,120,-0.1311365125935182,0.0648333741264736,0.0833333333333333,0.89,2.4256072684411367,0.5578058754341263,0.0918202185946866,0.2936380657877979,2.4,0.5578058754341263,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.02
18,1801000,0.2991175812353099,0.0656453946095907,3.2938180679309714,0.3298012396919298,0.28,147,-0.0736607840756374,0.271264080783297,0.0748299319727891,1.225,2.418495401387144,0.57787699894824,0.2622502829275344,0.2980982725032188,2.94,0.57787699894824,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.02
17,1701000,0.2836127154017736,0.0694312387510203,3.323110771996069,0.3643620331976664,0.37,142,-0.0664930258784712,0.035601910247874,0.1267605633802817,1.455,2.529392912179968,0.5542484492055335,0.0550259559403586,0.3350439308325344,2.84,0.5542484492055335,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.02
15,1501000,0.2894273127550024,0.0688826975278754,3.3352424511199086,0.3286499423066466,0.35,167,-0.0534577962625076,-0.0864476288414258,0.1017964071856287,1.585,2.529160610286405,0.6086979956242673,-0.2112635703784633,0.2851656187733463,3.34,0.6086979956242673,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.02
21,2101000,0.2942034516518562,0.0645967796932332,3.2345062903434023,0.359348314782925,0.42,141,0.1062543850922207,0.0328883208265923,0.2198581560283688,1.655,2.378084287071483,0.5657542728199167,-0.0352628144173743,0.305486690652122,2.82,0.5657542728199167,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.02
16,1601000,0.2915769401897688,0.0671943472710671,3.2715589255007016,0.3238393326774544,0.33,153,-0.1312760828818313,0.0290807736234206,0.0718954248366013,1.435,2.493311636162952,0.5904757925742388,-0.1133129286664691,0.3226728704673272,3.06,0.5904757925742388,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.02
14,1401000,0.2729971944936801,0.0632981422510372,3.1564029617407487,0.3020648868747632,0.32,152,-0.120695383470042,0.0069803765796711,0.1710526315789473,1.405,2.515984636367909,0.60845617852839,0.1182582880163855,0.3178742396564886,3.04,0.60845617852839,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.02
20,2001000,0.2782956793574357,0.0642947614777555,3.1724414314824028,0.3789704536739511,0.4,156,0.1241193643307983,-0.0031306257609327,0.1538461538461538,1.485,2.4857464382217045,0.5665208327015486,-0.0264760887808423,0.312061606744936,3.12,0.5665208327015486,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.02
5,501000,0.2821528179531566,0.0715619509420596,3.241572502673253,0.3381983862178294,0.27,157,0.0527423398215139,0.0280008825917209,0.0445859872611464,1.115,2.50278158393531,0.6593674870976169,-0.0653644695779621,0.2457562387923915,3.14,0.567501400002231,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,1.5,3.5,1.0,0.02
8,801000,0.2771911796972518,0.0619985661313277,3.352667639274206,0.3082303662172591,0.33,151,-0.1045607150930358,0.0325430848885136,0.1125827814569536,1.36,2.650866976615656,0.5708706469902147,-0.0258339220228108,0.286025859093123,3.02,0.5641453579122263,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,1.5,3.5,1.0,0.02
0,1000,0.2718378826190418,0.056343185750967,3.393805855815403,0.3241898500061591,0.32,156,0.1537772925740584,-0.0405926987232205,0.0897435897435897,1.435,2.73998135554985,0.6145736206339468,-0.0340533241441043,0.2639489533825708,3.12,0.5310412270497411,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,1.5,3.5,1.0,0.02
9,901000,0.2836151960540352,0.0694444665604829,3.2817470920966816,0.3341670713505775,0.34,146,0.1562641735178523,0.0876281972278633,0.1301369863013698,1.355,2.540641285656495,0.6543007246254298,0.1706736470551142,0.3206676360350324,2.92,0.580921017217269,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,1.5,3.5,1.0,0.02
1,101000,0.288588550403785,0.0605514409436033,3.439596118734986,0.298824980047861,0.28,164,-0.0873674037417681,0.10466802471289,0.0853658536585365,1.165,2.631116011552324,0.6212502690991905,0.0913131124052589,0.278477713822332,3.28,0.5644403545666535,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,1.5,3.5,1.0,0.02
3,301000,0.2874184785483858,0.0756664083866682,3.3552564767219883,0.3320024323158306,0.44,164,-0.2629293742925588,-0.0199204007338567,0.2012195121951219,1.95,2.5761651180294804,0.658443689520779,0.1213558433391233,0.2977841896700741,3.28,0.5742681430369957,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,1.5,3.5,1.0,0.02
4,401000,0.272167837075184,0.072005855043544,3.378428523855673,0.3395357414722404,0.4,155,0.0790803204595955,-0.0294187861922976,0.1032258064516129,1.58,2.7103205395405308,0.698129542395869,-0.0523720748113821,0.3138967061341096,3.1,0.6153340655678885,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,1.5,3.5,1.0,0.02
