run_id,seed,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,expected_global_cooperation,observed_global_cooperation,num_intercommunity_edges,corr_size_cooperation,corr_degree_cooperation,intercommunity_mutual_coop_rate,mean_external_payoff,mean_b_eff,std_b_eff,corr_climate_cooperation,std_climate,avg_degree,std_b_base,b,Tin,social_adaptation_rate,epsilon_perception,epsilon_execution,delta_D,delta_pi,rho,num_epochs,rounds_per_epoch,het_b_lo,het_b_hi,spread,base_prob
3,301000,0.2801908434760845,0.0712773133455279,3.54119088753494,0.3312493118191648,0.42,164,-0.1754804323977425,-0.084487562598848,0.2012195121951219,1.86,2.7983339695184446,0.8297788403725257,-0.1577414555852331,0.2852996917406428,3.28,0.5742681430369957,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,1.5,3.5,1.0,0.02
7,701000,0.2807277675673406,0.0785421216633764,3.621503251369068,0.3554043017079382,0.41,137,0.043913894267219,-0.1278230495277879,0.145985401459854,1.33,2.915771127070243,0.8886734678603615,0.1078293236252824,0.3193271741278173,2.74,0.5746457261855316,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,1.5,3.5,1.0,0.02
2,201000,0.2745132173587681,0.0698414764803591,3.324300266179537,0.3421257076526212,0.35,152,0.0060123034808803,-0.0424966490187553,0.1381578947368421,1.53,2.6647805187691294,0.8737946011867715,-0.1045006126352969,0.3516624885648974,3.04,0.601630330145316,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,1.5,3.5,1.0,0.02
6,601000,0.2711799717455477,0.0716334723771413,3.4864264516088297,0.3189461137182427,0.33,165,0.0825941122112609,0.052986042591395,0.0909090909090909,1.515,2.8684171778441527,0.8381510901217166,-0.0974325148142695,0.2964752455419335,3.3,0.5743939504550846,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,1.5,3.5,1.0,0.02
10,1001000,0.2769214930116164,0.0640010414890105,3.617626332455432,0.3473660916231709,0.38,153,-0.0196945077428691,0.095101593935645,0.1176470588235294,1.23,2.8716391007993085,0.8449817568034942,0.1961531954700912,0.2962751795363252,3.06,0.5335955517362488,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,1.5,3.5,1.0,0.02
11,1101000,0.2747213715497336,0.0683891513344052,3.4239703286647707,0.3080578564133046,0.26,155,0.0609212991726475,0.0280762180287912,0.1225806451612903,1.265,2.769143457473477,0.9727864534724028,0.039928738229921,0.3100286813933418,3.1,0.5429935114390992,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,1.5,3.5,1.0,0.02
13,1301000,0.2777387748025752,0.0701334555259206,3.673592105136761,0.3306019517506178,0.29,142,-0.1473219250207627,-0.0182988352479346,0.0845070422535211,1.005,2.976196634277063,0.9986499593108732,-0.0245177933708431,0.3067816416462649,2.84,0.6003096917384062,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,1.5,3.5,1.0,0.02
19,1901000,0.2934228725413718,0.0788530246803566,3.45906870291241,0.3112958163726602,0.28,140,0.0151698456200679,-0.1543031774329588,0.0357142857142857,0.955,2.614379873003841,0.878697348489115,-0.1012808100980013,0.2622971509540768,2.8,0.5639423250376029,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,1.5,3.5,1.0,0.02
12,1201000,0.2874860707652001,0.0912787470902326,3.549932004734276,0.3242756426857148,0.31,120,-0.1041506254122474,-0.0636583092429095,0.1,1.035,2.7671641735549697,0.8856823117510852,-0.0595562268874916,0.317092222323754,2.4,0.5578058754341263,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,1.5,3.5,1.0,0.02
18,1801000,0.2738556982804731,0.0620583054710412,3.521498836629842,0.3128241412111764,0.31,147,0.012193767324939,0.0613374143442523,0.0680272108843537,1.265,2.849119849451688,0.8861617793949045,-0.0223962355648771,0.3004179982994803,2.94,0.57787699894824,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,1.5,3.5,1.0,0.02
