eta_s,delta_pi,internal_cooperation,std,mean_payoff,n,ci95
0.8,0.1,0.43274771054945843,0.003934895301573935,3.960722582725772,11,0.0023253745233745523
0.8,0.2,0.3654007546797951,0.00567710746286402,3.4737378804819765,11,0.0033549561167035506
0.8,0.35,0.26664267829985555,0.005484480097863896,2.6756529565492864,11,0.0032411206184891784
0.8,0.55,0.15771682826382608,0.004902686800984552,1.683033915656119,11,0.0028973027512406734
0.8,0.8,0.06939809278188415,0.0027048704803986157,0.7770780494419234,11,0.0015984763054892285
0.8,1.0,0.03452630213266354,0.002653007818989079,0.39488396550616045,11,0.001567827431170286
1.0,0.0,0.4762841277209083,0.0028096841795281885,4.2872414862276145,11,0.0016604172434244928
1.0,0.02,0.46414558510269993,0.003228304049896252,4.205710355819803,11,0.0019078057777885148
1.0,0.05,0.45309241131926614,0.0064538940861444405,4.133169314810888,11,0.003814007676004739
1.0,0.1,0.4285166893256704,0.007938571532582307,3.9684036811435304,11,0.004691395978558672
1.0,0.2,0.37679710748744244,0.005099696521906013,3.5937782495653425,11,0.003013728056306516
1.0,0.35,0.29849746206492433,0.005715823346340964,2.9673425168192527,11,0.0033778357417475033
1.0,0.55,0.19439892739265358,0.004203185353304818,2.0386098027904365,11,0.002483923812073616
1.0,0.8,0.08860874545760272,0.0018882595520224887,0.9773054603756113,11,0.001115890085826528
1.0,1.0,0.041377780144823254,0.003024129022737921,0.4635360085389373,11,0.0017871460473318035
