eta_s,delta_pi,run_id,internal_cooperation,std_between_communities,mean_payoff
0.0,0.1,0,0.08809790791692398,0.023794389091285006,0.9877482915980503
0.0,0.1,1,0.09684878453796043,0.031029262908218995,1.0772084838329576
0.0,0.1,5,0.09445267075799248,0.0331721769768212,1.0609876148906772
0.0,0.1,2,0.0870010336812149,0.024692822565696337,0.982730930970613
0.0,0.1,3,0.10001626550956493,0.03293895401988936,1.1164643008498139
0.0,0.1,4,0.08815193077511659,0.030218353078115486,0.9833069017682302
0.0,0.1,9,0.08643414291276795,0.02239153273684684,0.9715336537574486
0.0,0.1,8,0.09119749425536446,0.028286892629527324,1.017758638018789
0.0,0.1,7,0.09212811157248932,0.02699580286246008,1.0285042029958975
0.0,0.1,6,0.09390946299106684,0.027652743650909296,1.0522507981259734
0.0,0.1,10,0.09077413488869322,0.028296001296486916,1.0188557712849375
0.0,0.2,0,0.05756542600028796,0.022463199433646133,0.6574171350342555
0.0,0.2,1,0.05814045969761317,0.021707145561522142,0.6652690697354267
0.0,0.2,5,0.05502696850417009,0.023248394920857,0.6246389854279281
0.0,0.2,2,0.058832174302914264,0.018545589622890088,0.6766152246311576
0.0,0.2,3,0.0522993761604009,0.019443428001557444,0.6017759108534438
0.0,0.2,4,0.05326949603499305,0.022425064103584233,0.6044896105169196
0.0,0.2,8,0.05301581356860861,0.020116772298021255,0.6130658432046737
0.0,0.2,7,0.057251547066143334,0.021589264855218334,0.6593294858923164
0.0,0.2,6,0.05390419954792101,0.023985913568246135,0.6164053657962719
0.0,0.2,9,0.054486151835537136,0.023371258543095838,0.6204887643546926
0.0,0.2,10,0.054738584474111125,0.023077931850040728,0.6306261025949597
0.0,0.35,0,0.03343448373110544,0.016634795968063158,0.39094460144008686
0.0,0.35,5,0.035772574088506794,0.017536732004117164,0.4181918191530749
0.0,0.35,1,0.032958279295960104,0.017098887463072806,0.38596914598067883
0.0,0.35,3,0.03220926031673836,0.015082096688834984,0.37888325007340073
0.0,0.35,2,0.03492026460908232,0.01679258097600601,0.40277374252108794
0.0,0.35,4,0.0340564001295187,0.018755032611636958,0.39434163874351585
0.0,0.35,8,0.03149393271763885,0.015228931604110856,0.3682049698867988
0.0,0.35,9,0.03366906967693015,0.014473463068159907,0.39377296741398027
0.0,0.35,7,0.0323651683618749,0.014196481544775486,0.3767794389132867
0.0,0.35,6,0.03322281466051739,0.014957618515341334,0.3879755442621529
0.0,0.35,10,0.03316695441701651,0.01661872108727399,0.387230094368808
0.0,0.55,0,0.021726441143818748,0.01228277135326398,0.25688088880356674
0.0,0.55,5,0.020085705677748363,0.012414729024521513,0.2378059278801667
0.0,0.55,1,0.024661220640870035,0.013288526956399208,0.28971005315406484
0.0,0.55,2,0.023033565552960763,0.016561413090662943,0.2681962552809837
0.0,0.55,4,0.019564426711501784,0.012491199587261486,0.22595789003178318
0.0,0.55,3,0.022386117408466383,0.012377494512978936,0.2656708570021338
0.0,0.55,8,0.020382000185069596,0.012909846239119442,0.24454575616144997
0.0,0.55,6,0.022253834076661226,0.012491837653004663,0.26359192908102264
0.0,0.55,9,0.020374905987110198,0.011202615864051916,0.23964414554558686
0.0,0.55,7,0.020787170576024812,0.014125462015776092,0.24403949085261953
0.0,0.55,10,0.021982182251545787,0.01429030262885528,0.25685265906142446
0.0,0.8,0,0.01366097604296004,0.009491891221677425,0.16246263227979804
0.0,0.8,5,0.014479090157524226,0.010400411307093344,0.17298729648498132
0.0,0.8,1,0.01292302712558823,0.008742958385213601,0.15474922584474182
0.0,0.8,2,0.01246510146367446,0.009428150749436153,0.14914594410282733
0.0,0.8,3,0.01454751158549949,0.011449144174989425,0.17371060315134604
