run_id,seed,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,expected_global_cooperation,observed_global_cooperation,num_intercommunity_edges,corr_size_cooperation,corr_degree_cooperation,intercommunity_mutual_coop_rate,mean_external_payoff,mean_b_eff,std_b_eff,corr_climate_cooperation,std_b_base,b,Tin,social_adaptation_rate,epsilon_perception,epsilon_execution,delta_D,delta_pi,rho,num_epochs,rounds_per_epoch,spread,het_b_lo,het_b_hi
0,1000,0.2674955373641492,0.0592169430841647,3.164446908826534,0.3374084970275612,0.31,1123,-0.0971176833124347,-0.1180438181329632,0.0792520035618878,9.04,2.5305932605537644,0.0212300899751869,-0.0032957651700769,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120,0.0,,
8,801000,0.2696500791841473,0.0473742643064555,3.227729949607255,0.297422667466513,0.32,1097,-0.0692534123977312,-0.0419257512388627,0.0875113947128532,9.15,2.5425740624795417,0.0200505543643243,0.023074798160537,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120,0.0,,
9,901000,0.276400804575401,0.0668920026968176,3.2429380127141947,0.3581551966246754,0.35,1055,-0.1386888357231501,-0.1709854875276705,0.1402843601895734,10.055,2.533789367935649,0.0209525446281757,0.0603973485804594,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120,0.0,,
1,101000,0.2789151255725407,0.0498399879657082,3.2922066623752446,0.3691967071843601,0.4,1151,-0.2160163334563251,-0.0322303985694104,0.1503040834057341,11.32,2.520322752717178,0.0209832901675475,0.1148778825681577,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120,0.0,,
4,401000,0.2651861645605207,0.0540776916159675,3.1565200695868665,0.3939948430476785,0.46,1155,0.1791594618254272,0.1037617292120146,0.2147186147186147,13.615,2.5280826009799893,0.0226780471728043,0.072848235208048,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120,0.0,,
3,301000,0.2712493755027559,0.0545429102272405,3.237729795425985,0.3415228815239455,0.43,1150,-0.0708407742955437,-0.1935933544557323,0.1530434782608695,12.37,2.539662874289049,0.0203940315895618,-0.3521122099967282,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120,0.0,,
7,701000,0.2682017783721767,0.0556884993748792,3.1850459082202014,0.3557877932415937,0.35,1098,0.2102569656309444,0.0096695673589121,0.1238615664845173,10.055,2.5559186054457013,0.0219779296473425,0.0364780517027838,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120,0.0,,
2,201000,0.2803307171435332,0.05191598712515,3.304389926475498,0.3461149565862147,0.27,1106,0.0514096973453721,-0.1142526754294189,0.0641952983725135,7.705,2.5281363752698987,0.0232980472019072,0.1304330987523809,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120,0.0,,
10,1001000,0.2733121001075436,0.0541048185276981,3.229472277236551,0.3268240456865088,0.33,1170,-0.0622766658017098,0.1018590370575472,0.1085470085470085,10.595,2.540745555265738,0.0212166820530508,-0.0140900207599503,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120,0.0,,
6,601000,0.2826861220877609,0.053060810889669,3.326135464549393,0.3915838406794142,0.35,1133,-0.0306708625576933,-0.070281910127124,0.1209179170344219,10.51,2.5413619469097304,0.0221212745729484,0.0323034085386338,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120,0.0,,
