community_id,round,cooperation_rate,mean_payoff,b
2,56,0.012048192771084338,0.07301204819277109,1.01
2,57,0.012048192771084338,0.07301204819277109,1.01
2,58,0.012048192771084338,0.07301204819277109,1.01
2,59,0.024096385542168676,0.17036144578313253,1.01
2,60,0.024096385542168676,0.15795180722891566,1.01
2,61,0.024096385542168676,0.14578313253012049,1.01
2,62,0.03614457831325301,0.2068674698795181,1.01
2,63,0.024096385542168676,0.17036144578313253,1.01
2,64,0.024096385542168676,0.15819277108433735,1.01
2,65,0.024096385542168676,0.15819277108433735,1.01
2,66,0.012048192771084338,0.07301204819277109,1.01
2,67,0.024096385542168676,0.15795180722891566,1.01
2,68,0.03614457831325301,0.21879518072289156,1.01
2,69,0.03614457831325301,0.2185542168674699,1.01
2,70,0.024096385542168676,0.133855421686747,1.01
2,71,0.012048192771084338,0.07301204819277109,1.01
2,72,0.0,0.0,1.01
2,73,0.012048192771084338,0.07301204819277109,1.01
2,74,0.012048192771084338,0.08518072289156627,1.01
2,75,0.024096385542168676,0.14578313253012049,1.01
2,76,0.0,0.0,1.01
2,77,0.04819277108433735,0.3039759036144578,1.01
2,78,0.024096385542168676,0.10951807228915662,1.01
2,79,0.024096385542168676,0.133855421686747,1.01
2,80,0.012048192771084338,0.07301204819277109,1.01
2,81,0.012048192771084338,0.07301204819277109,1.01
2,82,0.03614457831325301,0.2068674698795181,1.01
2,83,0.012048192771084338,0.060843373493975915,1.01
2,84,0.0,0.0,1.01
2,85,0.012048192771084338,0.07301204819277109,1.01
2,86,0.024096385542168676,0.15819277108433735,1.01
2,87,0.024096385542168676,0.14602409638554217,1.01
2,88,0.024096385542168676,0.14602409638554217,1.01
2,89,0.012048192771084338,0.07301204819277109,1.01
2,90,0.012048192771084338,0.07301204819277109,1.01
2,91,0.024096385542168676,0.1457831325301205,1.01
2,92,0.0,0.0,1.01
2,93,0.012048192771084338,0.060843373493975915,1.01
2,94,0.012048192771084338,0.060843373493975915,1.01
2,95,0.012048192771084338,0.060843373493975915,1.01
2,96,0.012048192771084338,0.060843373493975915,1.01
2,97,0.012048192771084338,0.060843373493975915,1.01
2,98,0.012048192771084338,0.060843373493975915,1.01
2,99,0.024096385542168676,0.12168674698795183,1.01
2,100,0.03614457831325301,0.20662650602409638,1.01
3,0,0.4583333333333333,2.7495833333333333,1.01
3,1,0.3611111111111111,2.150833333333333,1.01
3,2,0.3472222222222222,2.1219444444444444,1.01
3,3,0.3333333333333333,2.0391666666666666,1.01
3,4,0.3194444444444444,1.9409722222222223,1.01
3,5,0.25,1.4681944444444444,1.01
3,6,0.2222222222222222,1.3705555555555557,1.01
3,7,0.19444444444444445,1.1472222222222221,1.01
3,8,0.1527777777777778,1.0080555555555555,1.01
3,9,0.19444444444444445,1.2594444444444446,1.01
3,10,0.09722222222222222,0.616111111111111,1.01
3,11,0.05555555555555555,0.3226388888888889,1.01
3,12,0.013888888888888888,0.08416666666666667,1.01
3,13,0.013888888888888888,0.08416666666666667,1.01
3,14,0.013888888888888888,0.08416666666666667,1.01
3,15,0.013888888888888888,0.08416666666666667,1.01
3,16,0.0,0.0,1.01
3,17,0.0,0.0,1.01
3,18,0.013888888888888888,0.08416666666666667,1.01
3,19,0.013888888888888888,0.08416666666666667,1.01
3,20,0.013888888888888888,0.08416666666666667,1.01
3,21,0.041666666666666664,0.23819444444444443,1.01
3,22,0.027777777777777776,0.15430555555555558,1.01
3,23,0.0,0.0,1.01
3,24,0.013888888888888888,0.08416666666666667,1.01
3,25,0.027777777777777776,0.15430555555555558,1.01
3,26,0.013888888888888888,0.08416666666666667,1.01
3,27,0.0,0.0,1.01
3,28,0.0,0.0,1.01
3,29,0.0,0.0,1.01
3,30,0.013888888888888888,0.08416666666666667,1.01
3,31,0.0,0.0,1.01
3,32,0.027777777777777776,0.1823611111111111,1.01
3,33,0.05555555555555555,0.3226388888888889,1.01
3,34,0.013888888888888888,0.09819444444444445,1.01
3,35,0.027777777777777776,0.16833333333333333,1.01
3,36,0.027777777777777776,0.1823611111111111,1.01
3,37,0.041666666666666664,0.26652777777777775,1.01
3,38,0.027777777777777776,0.16833333333333333,1.01
3,39,0.041666666666666664,0.21013888888888888,1.01
3,40,0.05555555555555555,0.3501388888888889,1.01
