run_id,seed,Tin,b,social_adaptation_rate,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,final_std_payoff_between_communities
28,70,50,1.01,0.03,0.4785782826321581,0.09755019773183106,2.8799277555086062,0.5729618787426051
29,71,50,1.01,0.03,0.4158902830622453,0.0841768952924525,2.558416018249635,0.5167090645493823
30,72,50,1.01,0.03,0.4281220053238687,0.10818922605454044,2.549244683525584,0.629049681263419
31,73,50,1.01,0.03,0.34294367980554363,0.05305236524988948,2.059698924631218,0.27496184826598596
32,74,50,1.01,0.03,0.4554324293620267,0.09002939380732855,2.74985823230602,0.49781309740859025
33,75,50,1.01,0.03,0.4657874893774885,0.08398947769535664,2.8159785828599038,0.51540785182977
34,76,50,1.01,0.03,0.42436907236907234,0.11356633074370494,2.5677444015444015,0.6794483856511613
35,77,50,1.01,0.03,0.41952045500135704,0.13449806457945374,2.5002099684944596,0.8127431964102267
36,78,50,1.01,0.03,0.4050322703260714,0.1443981270560343,2.4172808608692655,0.8230824717464591
37,79,50,1.01,0.03,0.400929553729951,0.0906923820907106,2.417380994553279,0.5471919176904092
38,80,50,1.01,0.03,0.3982231237322515,0.11837876782295544,2.405373637592968,0.6870051568063288
39,81,50,1.01,0.03,0.3821182164555659,0.035365503097256834,2.264715013901761,0.21514597373548258
40,82,50,1.01,0.03,0.44976638178921213,0.07392910542641057,2.7074697739277696,0.4210063736722178
41,83,50,1.01,0.03,0.3665151515151515,0.10551570815596878,2.2006534965034965,0.6601570795994909
42,84,50,1.01,0.03,0.37015123827622465,0.15046364750535055,2.23129520505952,0.8851139345973514
43,85,50,1.01,0.03,0.3802630737629539,0.09521636754237964,2.291131114697679,0.575203703710541
44,86,50,1.01,0.03,0.35383689355834796,0.09307941211722807,2.116356391110748,0.5341604640098878
45,87,50,1.01,0.03,0.32251868357239805,0.07611510040979769,1.9484771198273605,0.4707474821197286
46,88,50,1.01,0.03,0.3735292962545843,0.08181016635272895,2.250028235294118,0.49234569003492157
47,89,50,1.01,0.03,0.4763208953283692,0.07719274849098921,2.862604282968054,0.4625513821810513
48,90,50,1.01,0.03,0.34929125204188816,0.06725981283778382,2.082322166011707,0.38831276702681117
49,91,50,1.01,0.03,0.4031135902636917,0.14476851621315837,2.428858168141865,0.8647137260159533
50,92,50,1.01,0.03,0.3379701150900612,0.11018910720645254,2.026495617592949,0.6789911400402778
51,93,50,1.01,0.03,0.43260670194003525,0.09384165858470142,2.5928487161868117,0.5325145169330125
52,94,50,1.01,0.03,0.4412845577361707,0.14749598996675575,2.6245087550442383,0.8791892062332156
