Tin,b,social_adaptation_rate,mean_final_cooperation,std_final_cooperation,mean_final_payoff,std_final_payoff
50,1.2,0.15,0.19636414138519992,0.036954670625762076,1.332755287038629,0.24382175431331773
50,1.2,0.175,0.1812583593310992,0.03553957374090021,1.2335173886925417,0.23390284352456409
50,1.2,0.2,0.1594453712832406,0.03266669987320056,1.089551052521853,0.21406265040218775
50,1.2,0.25,0.13475527402165943,0.02863085344190208,0.9233890821586552,0.19348386308492285
50,1.3,0.02,0.3095492717028089,0.03376145749742221,2.1844599883418154,0.22135582765683237
50,1.3,0.03,0.296901857916671,0.030298944206211254,2.0959662204252014,0.19859845671182544
50,1.3,0.04,0.29690191975421604,0.03151057903690591,2.1009977404640616,0.20514403035841647
50,1.3,0.05,0.27650731374094156,0.0358215467288961,1.959480409385278,0.23915748041233995
50,1.3,0.075,0.24605213422977137,0.03414296329758085,1.7569904459522387,0.23107259477558276
50,1.3,0.1,0.22262021545610935,0.030559143185567097,1.595947469016108,0.20687758230201286
50,1.3,0.125,0.20297221669127902,0.0291419382706426,1.4624053369920205,0.19562710159991856
50,1.3,0.15,0.18639709694204332,0.03618234389839369,1.34755478402979,0.2476783167204956
50,1.3,0.175,0.16329251159686395,0.03483440671520856,1.1853260014169176,0.24160671316274349
50,1.3,0.2,0.15096150798127525,0.033507997096764885,1.0981620514975026,0.23040186282867947
50,1.3,0.25,0.12395759770376266,0.027896808792419556,0.9089286394375504,0.19674210308197013
50,1.4,0.02,0.2909743801652816,0.03540255228723565,2.1658530909867477,0.2401167451996181
50,1.4,0.03,0.2811960134340455,0.03481636437021446,2.1015626046682843,0.23969202729977218
50,1.4,0.04,0.2753953364160716,0.02904925604039285,2.0611848869280602,0.19506569258148976
50,1.4,0.05,0.2565483655275194,0.035987963953233164,1.9272635977414652,0.2503935509649578
50,1.4,0.075,0.23457886358893587,0.029962313614902425,1.7709982498139347,0.20945693685208336
50,1.4,0.1,0.20915682274111114,0.030385023698218012,1.5869761393478605,0.22043668564191904
50,1.4,0.125,0.19410039612359795,0.0340222207799548,1.4790076466108322,0.2420446106065213
50,1.4,0.15,0.17299505603635212,0.0325707542288915,1.3265170337377556,0.2368345401731408
50,1.4,0.175,0.15433608914971145,0.03206151330994283,1.191286561689633,0.2349793332203943
50,1.4,0.2,0.14323890547334794,0.029410067818557387,1.1060333678630403,0.21230862314011864
50,1.4,0.25,0.11620972050584659,0.02658873892298555,0.9041745654022328,0.1993444614056237
50,1.5,0.02,0.2748567572147815,0.03207561452540289,2.1635855886644686,0.2329133613258777
50,1.5,0.03,0.2686353547461867,0.03198562965751381,2.1173456883431006,0.2270989846534763
50,1.5,0.04,0.255000545806584,0.02932496081610861,2.0191752965838377,0.21632688811725498
50,1.5,0.05,0.23999046897681894,0.033334249969402034,1.9064744400060114,0.24424482995613628
50,1.5,0.075,0.22192823793140914,0.030602757027043476,1.7729157395653445,0.22637042646988542
50,1.5,0.1,0.19562381391055322,0.031419004824094696,1.5734483035133118,0.23833538353209507
50,1.5,0.125,0.18522250505374946,0.03368139109279591,1.4904406222182658,0.2501222824562024
50,1.5,0.15,0.16448689380077802,0.03117300802888682,1.3380706474405506,0.23924424178686196
50,1.5,0.175,0.1484744520030959,0.031565068342296124,1.2078881171832163,0.24197667930971378
50,1.5,0.2,0.1335411429982098,0.029527687586344588,1.0944018882516235,0.22527648585345844
50,1.5,0.25,0.11306988701640779,0.0242138484987493,0.9372616803929918,0.19425317262846922
50,1.7,0.02,0.2513838921912161,0.02811942985094718,2.1993158083830573,0.21654828972124504
50,1.7,0.03,0.23786865870085835,0.026267478066102874,2.0902133268849856,0.199019626223533
50,1.7,0.04,0.2292290174244978,0.0294044473251989,2.01834063602595,0.22595505977713243
50,1.7,0.05,0.21931441823272552,0.029867929909648237,1.9379472830716449,0.23303832493651125
50,1.7,0.075,0.20220256940137765,0.028493339935055265,1.7972470967122134,0.22376750307919757
50,1.7,0.1,0.18533934882510966,0.03434508617346208,1.6468534561853705,0.27663484460013726
50,1.7,0.125,0.16960606313594398,0.029718601587019947,1.5214292736916475,0.24699118060560063
50,1.7,0.15,0.15057519343032316,0.029023795622665865,1.3642464843335305,0.23796948899990863
50,1.7,0.175,0.13776266435369927,0.029032808331998085,1.2536543017539887,0.24671246938090197
50,1.7,0.2,0.12534971672766784,0.028150184209008507,1.1497287325307748,0.24375755397094936
50,1.7,0.25,0.10509173048833613,0.024846842705798056,0.9732348712499,0.21641543647176703
100,1.01,0.02,0.39810938469111007,0.04408108590791701,2.393028721237423,0.2646312032087668
100,1.01,0.03,0.3647924402041,0.04252037471448122,2.201139657593658,0.2569743779772934
100,1.01,0.04,0.3370883231237206,0.044744451221843895,2.0359670556230225,0.2659705707222311
100,1.01,0.05,0.31262915507943406,0.04071227164586743,1.8871146986882152,0.24687226062009987
100,1.01,0.075,0.27386612312429853,0.036152953069708255,1.6526303481795797,0.22069103231975357
100,1.01,0.1,0.23571942470772286,0.04150755621840162,1.4226612653668895,0.24918067582596481
100,1.01,0.125,0.20900808552033784,0.03527918576075518,1.2626864687805994,0.2162270145823864
100,1.01,0.15,0.18047463489080545,0.03236030884762557,1.0879137575451736,0.19619506329450084
100,1.01,0.175,0.16299587931408838,0.033789502938584674,0.9843756739343188,0.20163431577051896
100,1.01,0.2,0.1490686153125429,0.03356147014556704,0.9017970487805718,0.2042204788333709
100,1.01,0.25,0.12045848542347815,0.021724692675571877,0.7281177755407968,0.13297021123321892
100,1.05,0.02,0.37229628110413715,0.03963327414228332,2.2879058950592244,0.24432855348277546
100,1.05,0.03,0.3465564986515799,0.04779686036157866,2.135852310207669,0.2922347266251883
100,1.05,0.04,0.3254394538566565,0.03685579542926006,2.0090718550114213,0.22423862824358842
100,1.05,0.05,0.3147993350727933,0.03891544318582675,1.9477808392322191,0.23851700842846107
100,1.05,0.075,0.2571335707181491,0.03692407996118003,1.585813687665666,0.22573797555011255
100,1.05,0.1,0.22568009163946887,0.04061577118968249,1.396247184940276,0.24737284773053103
100,1.05,0.125,0.19869560382286072,0.030274703588723903,1.2332615575088366,0.1895677647752093
100,1.05,0.15,0.17775790174531086,0.03424207166280896,1.0992153347893052,0.20888397492415262
100,1.05,0.175,0.16124127867935215,0.0343573303941996,1.003410192481836,0.2104952100911675
100,1.05,0.2,0.13997553304214821,0.026953151444983687,0.8704729538872092,0.1675797395915244
100,1.05,0.25,0.11505649856925251,0.0233639710951923,0.7183973678225437,0.14440645934775828
100,1.1,0.02,0.34916064869991864,0.04306751181963164,2.2079135602108932,0.26730578269363237
100,1.1,0.03,0.32624133212153295,0.04052825556824303,2.065873082214423,0.2516307643791435
100,1.1,0.04,0.31026860313957666,0.04567605111441349,1.97119875133535,0.28019626164656936
100,1.1,0.05,0.28995400224645695,0.03774712514173967,1.8396475637464758,0.23236863020668536
100,1.1,0.075,0.2513447625120552,0.03129342221301247,1.6031261741792644,0.19513460528935503
100,1.1,0.1,0.2167559675533406,0.03561808994284812,1.3844213928829,0.22519820442103677
100,1.1,0.125,0.18813860116448447,0.032544948218692346,1.201062153849243,0.20470990264729258
100,1.1,0.15,0.1675434561216276,0.025612122989006343,1.0744025929494723,0.1585755105924512
100,1.1,0.175,0.15139486995039403,0.02863566780860393,0.9736046272591518,0.1774541829904767
100,1.1,0.2,0.1330886017255074,0.023468889939496834,0.8570226226600048,0.15289557098030254
100,1.1,0.25,0.1129696736533915,0.024507322375170275,0.7318385750311994,0.15652452437700173
100,1.15,0.02,0.3213858424416264,0.039883443781678594,2.0931127228092365,0.24948245314889245
100,1.15,0.03,0.312298966564461,0.0355001003122165,2.032401128006457,0.21812638587578143
100,1.15,0.04,0.30169439277176646,0.03920952402438832,1.9678618265187868,0.24525700617085985
100,1.15,0.05,0.2798159621961326,0.03823394162776396,1.8334810415696379,0.2409186862737735
100,1.15,0.075,0.23816755279126353,0.03443298427647,1.565989141747573,0.21797069898010138
100,1.15,0.1,0.20728262248583543,0.03628471595517231,1.364351117767828,0.23106609957992036
100,1.15,0.125,0.18152540111478682,0.03125282771205595,1.200720758695482,0.19868609029864456
100,1.15,0.15,0.16725140135650868,0.027036813094606014,1.1085481936086685,0.1727044159445859
100,1.15,0.175,0.14266480659171404,0.02555560396850281,0.9516277614534383,0.16566243927097302
100,1.15,0.2,0.13159592427034555,0.026428900326080716,0.8770925304963587,0.17355136710559455
100,1.15,0.25,0.10949409544303597,0.02329488404338455,0.7370708506839645,0.15540910768563748
100,1.2,0.02,0.30405263916238295,0.039804006574332126,2.037847502330507,0.25534408455135743
100,1.2,0.03,0.2883000007431888,0.03829353773376274,1.9357323069235206,0.24185003483020753
100,1.2,0.04,0.27788235359279245,0.03282520506494611,1.8706697776016252,0.2174470175048956
100,1.2,0.05,0.26584096920683636,0.03784111291194591,1.7934358185014585,0.2415213740409321
100,1.2,0.075,0.22784998409612892,0.03314895132098101,1.548461164500244,0.21878608130118576
100,1.2,0.1,0.20308945781736926,0.0276733055104937,1.3791379857397092,0.18146564836406917
100,1.2,0.125,0.1777042407376851,0.03357887719619392,1.2140695834818733,0.21932956819948451
100,1.2,0.15,0.1570475329128425,0.027717109398702436,1.0768577805355446,0.18410995857548149
100,1.2,0.175,0.1392722317090043,0.027508295155255113,0.9586374849559117,0.18057345441666606
100,1.2,0.2,0.12752463158741062,0.02216911742524115,0.8780185613071223,0.14700803501455145
100,1.2,0.25,0.11102237998545261,0.02388602354034728,0.772790566870291,0.16432489829376853
100,1.3,0.02,0.2781670631442959,0.04044856196176247,1.9799715892315306,0.26962118954638126
100,1.3,0.03,0.25708774129035505,0.03585326370959795,1.8398166644764218,0.24156832088950736
100,1.3,0.04,0.2543923032617974,0.03727588369403058,1.8155828265883271,0.24620000153405497
100,1.3,0.05,0.2388157794486328,0.030805342685447646,1.716000444897378,0.20338036637323978
100,1.3,0.075,0.20748791350403778,0.029018505207531124,1.4982244694291307,0.20072905031513913
100,1.3,0.1,0.18811449668776065,0.03400252789777385,1.3588686179653948,0.23119818589004618
100,1.3,0.125,0.16436964585977118,0.03094700704295511,1.1960264953380304,0.21500289919205118
100,1.3,0.15,0.14776372216331002,0.024180931686429874,1.0811339569317981,0.16502733959492122
100,1.3,0.175,0.13006601533815298,0.025420581703506803,0.9597310848342436,0.17899233308961351
100,1.3,0.2,0.1222471816543109,0.02669519029293498,0.8997622033146293,0.188899033045176
100,1.3,0.25,0.10175873025667556,0.023272986945369112,0.7604712603554602,0.16819880857362926
100,1.4,0.02,0.2570746536140719,0.03627054601232884,1.9432859016422626,0.25219723020154794
100,1.4,0.03,0.24360947275861297,0.033920656098361035,1.8491301092650534,0.23471796508747572
100,1.4,0.04,0.23307792128074753,0.03370925109731162,1.7719166302424096,0.23390006071079406
100,1.4,0.05,0.217660042622776,0.03167492424991717,1.6581487349091244,0.22683373989397473
100,1.4,0.075,0.19082173639576763,0.03234968595697892,1.4618416591198922,0.23090572050711802
100,1.4,0.1,0.1694650538285468,0.027220733453484806,1.3037478898637234,0.19927055774716204
100,1.4,0.125,0.1538238957263331,0.0265060928614679,1.1929256498546894,0.19289334547160053
100,1.4,0.15,0.14249018482042325,0.026226681361373093,1.1072102884197492,0.18806800264474804
100,1.4,0.175,0.12580418437414012,0.024870846283699486,0.9882337587884974,0.1880799393899898
100,1.4,0.2,0.11739412229104196,0.02589003349639744,0.9237166111217405,0.1934414592081783
100,1.4,0.25,0.10078529933881213,0.022239718584290778,0.8031980566880439,0.16947040843062589
100,1.5,0.02,0.23828489616142318,0.034644684343567274,1.9131384286966018,0.2584511495393022
100,1.5,0.03,0.2209894579874357,0.03227140330066318,1.7846569620393626,0.23692038855409087
100,1.5,0.04,0.21879136151271336,0.03025155161581124,1.7570570589841488,0.2217761241576384
100,1.5,0.05,0.20736842784666387,0.03390330066646502,1.6705104125281127,0.250193365976466
100,1.5,0.075,0.18213379323257023,0.029104781721620013,1.4834539191311673,0.22256346704624058
100,1.5,0.1,0.16197525351911246,0.028388930540740147,1.3222128076098574,0.21795714532862762
100,1.5,0.125,0.14783815978106238,0.029597320076153257,1.2127439657642043,0.2230570616855343
100,1.5,0.15,0.13413593446696123,0.025805642787505637,1.1083799358581516,0.19834724725089775
100,1.5,0.175,0.12166107526048597,0.026633166493875152,1.0149312024426487,0.20681079786974985
100,1.5,0.2,0.11185888889520142,0.02501131129258062,0.9318365957559175,0.1961747858331467
100,1.5,0.25,0.09862940986858026,0.02159987344307244,0.838015269414571,0.1748366866428407
100,1.7,0.02,0.21089918155778092,0.033405245642648886,1.8911231468143093,0.2632235461786545
100,1.7,0.03,0.19687557061401512,0.029266617965617678,1.7731900833463956,0.23810921771787724
100,1.7,0.04,0.18927295462558644,0.03009316570313048,1.7144380478021148,0.24768296574983756
100,1.7,0.05,0.18685616830610963,0.029420867222992936,1.691310816414391,0.2374775920811272
100,1.7,0.075,0.16551543200125401,0.02794709418289018,1.5040230187438417,0.23118667342921415
100,1.7,0.1,0.1514884712559153,0.029563498137786817,1.3790860467163077,0.24122354817567204
100,1.7,0.125,0.13535825585173977,0.028281340006841835,1.2408675449993063,0.23984926111229757
100,1.7,0.15,0.1259220574663604,0.021992315706585202,1.1656219294761931,0.18818746610758916
100,1.7,0.175,0.11534233432710664,0.023404571827861466,1.0779278886098147,0.20032235366709314
100,1.7,0.2,0.10448820671394017,0.02335735418954419,0.9776460095162015,0.20059638687393294
100,1.7,0.25,0.09264634935453822,0.020316089860739493,0.8760915305423096,0.18224084761517842
150,1.01,0.02,0.3887518780647622,0.03786368924802184,2.3490719620914344,0.22811917852123564
150,1.01,0.03,0.36002308709354763,0.0420426784850064,2.168707486003751,0.2531733694951703
150,1.01,0.04,0.3345493597052757,0.04173895114586927,2.0217831996045286,0.2521961293367061
150,1.01,0.05,0.3102408931356284,0.03981280642974962,1.872152122013506,0.2445388042953963
150,1.01,0.075,0.26043749849056874,0.03927097399148454,1.5732610386467973,0.2357273226639216
150,1.01,0.1,0.22981998967138476,0.04203695289544157,1.3875806762264171,0.25138653431862445
150,1.01,0.125,0.1940480031386262,0.035495901555557305,1.1737028679010546,0.21499265759860714
150,1.01,0.15,0.1741025667617404,0.03554088166233854,1.052176698057608,0.21460111344948823
150,1.01,0.175,0.15349696792287099,0.03187351984789401,0.9291084308845713,0.18995596213423901
150,1.01,0.2,0.13754350597775952,0.031277726582221804,0.8303063818718732,0.1905641470985771
150,1.01,0.25,0.11887184508311047,0.026213175242007686,0.719838785160235,0.16339488519567452
150,1.05,0.02,0.3611119798526325,0.044547248467970195,2.2257030314464625,0.2724028498438663
150,1.05,0.03,0.3458897401772567,0.05186388290824691,2.133130936950476,0.318118312102992
150,1.05,0.04,0.32476425728519354,0.04255534123650646,2.0011199098850527,0.2616442180587724
