run_id,seed,b,social_adaptation_rate,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,final_std_payoff_between_communities
7,49,1.1,0.2,0.1095621077215005,0.05413321308000764,0.7271708023159636,0.31490032317027034
8,50,1.1,0.2,0.1425458318658805,0.0348880894016892,0.9209315327529162,0.22958946376424885
9,51,1.1,0.2,0.13465669834687907,0.06436610061549072,0.8810576785627509,0.4150864790840051
10,52,1.1,0.2,0.11890156182393626,0.0747185991530934,0.79867331721213,0.5007131771540336
11,53,1.1,0.2,0.17046863988724453,0.1476156345422552,1.0835807061155898,0.9248096925387119
12,54,1.1,0.2,0.14485502533129796,0.07265622706846456,0.9504463352580697,0.4939426640168618
13,55,1.1,0.2,0.13315415280701387,0.07532715066830385,0.8622995325011388,0.48436788165295847
14,56,1.1,0.2,0.08771205033737633,0.05494217393805294,0.5687950048985111,0.3584935070043868
15,57,1.1,0.2,0.119669192353046,0.04964015154773944,0.7774785287046413,0.33188024218906015
16,58,1.1,0.2,0.11652165250629495,0.060792295864860034,0.7610997185505264,0.3883367113620652
17,59,1.1,0.2,0.14108692465820943,0.046548171759959824,0.9089332527525006,0.29470265549834335
18,60,1.1,0.2,0.1176674306086071,0.08793371505855756,0.7227848230201172,0.5545294633406082
19,61,1.1,0.2,0.16658149493748825,0.030204369130019663,1.065017773527083,0.20506590684546447
20,62,1.1,0.2,0.1583530666864,0.06562507729019794,1.0239488289488288,0.4219510798108524
21,63,1.1,0.2,0.18081994521272166,0.05622818262047907,1.1597484184835545,0.36508640732381675
22,64,1.1,0.2,0.10575055149394223,0.07096926319904993,0.6685166256655464,0.44493351851284174
23,65,1.1,0.2,0.1430531900041882,0.0722908085363162,0.911494311042859,0.4607325048788857
24,66,1.1,0.2,0.12850401639968487,0.07962937587071324,0.7894678393326394,0.4975614891284264
25,67,1.1,0.2,0.14712828976161782,0.09313377941850026,0.96350785786456,0.5757459860631554
26,68,1.1,0.2,0.10931833060865319,0.04029797098617505,0.6935363781815396,0.2652907106244899
27,69,1.1,0.2,0.13035978511204765,0.07257877320204345,0.8272153947004421,0.44337471048086674
28,70,1.1,0.2,0.101959301486242,0.0622385318932068,0.6336914557557318,0.38319818403642525
29,71,1.1,0.2,0.11943410962329226,0.058983209193938395,0.7569300617966637,0.35903684140409114
0,42,1.1,0.25,0.12870445577566195,0.07742307586489144,0.8134446775867517,0.49837901334835266
1,43,1.1,0.25,0.09604281418342726,0.04355846227924674,0.6175647167331169,0.27144908359154113
2,44,1.1,0.25,0.14604388248966563,0.07855576333234697,0.944888234255704,0.45290063063060565
3,45,1.1,0.25,0.14917728301650807,0.03937733041400502,0.9610282782030234,0.25967087563321856
4,46,1.1,0.25,0.14252672361147461,0.08093955960816925,0.930628910791755,0.5312186777471544
5,47,1.1,0.25,0.13794864274466023,0.055013912989848555,0.8824034091931129,0.36390940593968246
6,48,1.1,0.25,0.13412215320910975,0.03181460600096428,0.8986226708074534,0.1976794256066353
7,49,1.1,0.25,0.14942636111516566,0.04903751045046434,0.9197782318882887,0.3047401725808027
8,50,1.1,0.25,0.13934357836324412,0.08609515696236932,0.9005138836817983,0.5567787305307347
9,51,1.1,0.25,0.06873437879326029,0.01804432485223318,0.4364246070776822,0.0978312816484257
10,52,1.1,0.25,0.10994937581840074,0.07017524913221017,0.711339694349925,0.45887680696854555
11,53,1.1,0.25,0.15842845526566457,0.08258820073188942,1.0318496898450387,0.5363093919212947
12,54,1.1,0.25,0.09976659808411317,0.029430832803506266,0.6473689077675273,0.2045491179687292
13,55,1.1,0.25,0.09341135363975009,0.07157492080880884,0.6130400660404807,0.4644602554525168
14,56,1.1,0.25,0.1054996343364932,0.06893215129665103,0.664541093678851,0.42856959991902877
15,57,1.1,0.25,0.08215120220339009,0.05196520979302582,0.517922028459965,0.3253100285234352
16,58,1.1,0.25,0.06997252307762626,0.032444051682633715,0.4620747994606577,0.2044552074897243
17,59,1.1,0.25,0.1211611395645652,0.06690121690689256,0.7911695568921967,0.42007365463633606
18,60,1.1,0.25,0.06881998776522104,0.04269731393868033,0.4546452587304515,0.26390003835836623
19,61,1.1,0.25,0.12948935924159027,0.07497647966462354,0.8263260415961036,0.4753850199272342
20,62,1.1,0.25,0.10562986396319729,0.025652038565772816,0.7023492248492249,0.16178105146637276
