round,mean_cooperation,std_cooperation,mean_payoff,std_payoff
207,0.30174470471349796,,2.9062814408936184,
208,0.3010260915670276,,2.9009335212259804,
209,0.3015100668375503,,2.9053183993769003,
210,0.30043708584290757,,2.8937680720821266,
211,0.30018824831484886,,2.8919410645053873,
212,0.3012306982437235,,2.900580279395977,
213,0.30011609811410317,,2.8905914912633404,
214,0.3007622051018364,,2.898731476064894,
215,0.301150809839955,,2.900572851470006,
216,0.3009052146768847,,2.8986058462699127,
217,0.3005131237406984,,2.8968873656600413,
218,0.2999763746916428,,2.892742516713536,
219,0.2996648266421415,,2.8884648855560346,
220,0.30072677907311857,,2.8988088877502514,
221,0.30090389979515153,,2.9009306741784315,
222,0.3000285127805642,,2.891526965200372,
223,0.3002925065109877,,2.8944331648648536,
224,0.3001505373414675,,2.894347546719357,
225,0.29980151610382527,,2.891245155997355,
226,0.29943587098080016,,2.888584299466204,
227,0.29867836996833114,,2.88165565282407,
228,0.29854226623392716,,2.8844288487230187,
229,0.29875628091099965,,2.8860812484659255,
230,0.2978482247995986,,2.8781295610973197,
231,0.29838788679616834,,2.884785305477389,
232,0.29866090758787167,,2.8868889648218805,
233,0.2986738998437771,,2.886398588926048,
234,0.29761381797256703,,2.878360178578516,
235,0.2983828516875843,,2.882522061124532,
236,0.2980978828626794,,2.878549985814059,
237,0.2985469229187034,,2.8826680156756836,
238,0.29884036176520873,,2.885891998170535,
239,0.29916061404557925,,2.887396613682483,
240,0.2987259972511277,,2.8811652874904037,
241,0.2992123640699373,,2.885642562955467,
242,0.29955718934316206,,2.889663664745946,
243,0.30027426281301733,,2.8982920762411846,
244,0.30059493832928585,,2.9004206079315358,
245,0.300437686531244,,2.895601184010589,
246,0.3008738370367046,,2.9004304171912216,
247,0.30098268781382226,,2.901732005974446,
248,0.3007801191501962,,2.898865411888771,
249,0.30046067714790614,,2.8981329208951396,
250,0.3008653885060559,,2.9002076883258394,
251,0.3014097618275196,,2.906484020177872,
252,0.3022952297027534,,2.9143371742437303,
253,0.3012842661144276,,2.9043217660974654,
254,0.3012917350224767,,2.9046406132811913,
255,0.3010822477553131,,2.9047408301530178,
256,0.3013098920040164,,2.9062800034540834,
257,0.3006451496745015,,2.8998212663216765,
258,0.300074995265644,,2.8929219140598064,
259,0.3007455381574318,,2.8991313904188782,
260,0.30034674883745327,,2.8952107200128605,
261,0.29927332472580603,,2.886192016588286,
262,0.2993332653930315,,2.887184010497254,
263,0.29906780365377195,,2.8877131736160666,
264,0.2993051747046455,,2.8885521429485426,
265,0.2991015919835631,,2.887249450379651,
266,0.2985593323855272,,2.8814449310103774,
267,0.2992220377877555,,2.8862295124184234,
268,0.29932360868074215,,2.8888293426636795,
269,0.29843171399715746,,2.880580136191782,
270,0.29864725024103533,,2.879873309669691,
271,0.2981327811166392,,2.875018543810017,
272,0.2983999220050107,,2.8771287564638697,
273,0.29894855883845756,,2.8841404632902923,
274,0.2988455716265925,,2.8823994383232776,
275,0.29922352554295417,,2.8876807910701685,
276,0.2986111606366278,,2.8813624183271087,
277,0.2988887328544356,,2.881391811107317,
278,0.29933752547954484,,2.885931788383051,
279,0.3003207601378544,,2.894021938697306,
280,0.29968040256870626,,2.889866157497065,
281,0.29906602628137596,,2.8853715567577742,
282,0.29899745876955425,,2.886231932826482,
283,0.2993286397729877,,2.8871148813299783,
284,0.29939605314412066,,2.8877249636203364,
285,0.29969756752060506,,2.8925648096803296,
286,0.2991579506859344,,2.886746328535128,
287,0.2995882668493235,,2.8883451288593114,
288,0.29969558392893186,,2.8928614715352046,
289,0.3001649540929868,,2.896487047446151,
290,0.29973835574076135,,2.8900175971126623,
291,0.2989900899665991,,2.8869709562313015,
292,0.2991158558510252,,2.886406231042746,
293,0.2988013207834038,,2.883143730725801,
294,0.2999807839154871,,2.8942250734646953,
295,0.2999607348348953,,2.8937901156826857,
296,0.300171732217744,,2.893097887529506,
297,0.3002467373092943,,2.895007542288802,
298,0.30055659944740165,,2.8989539923753624,
299,0.30016239455165294,,2.8964116774853217,
300,0.299914719788539,,2.8918957781133794,
301,0.29954919907400923,,2.888658013978021,
302,0.2995490874433842,,2.886737101795634,
303,0.2990684589443607,,2.885848202448302,
304,0.2985250360732101,,2.8815311086084803,
305,0.2993526942070968,,2.886473573515518,
306,0.2993601307725581,,2.8876941111799135,
307,0.29864154908909113,,2.881881531811772,
308,0.298679625902021,,2.8816531551994546,
309,0.2986720528650564,,2.8804224872486586,
310,0.298760271017677,,2.883705608708975,
311,0.2991671421866094,,2.887357036158468,
312,0.29878991972131663,,2.882640545549839,
313,0.29895437463622154,,2.886070570716351,
314,0.298838557876065,,2.8874013859717103,
315,0.29877730869171415,,2.8861849494124727,
316,0.29765932221556135,,2.8776695442050033,
317,0.2976240062232892,,2.8776200288273346,
318,0.29777715813219524,,2.876975713845704,
319,0.29787254336272195,,2.8776531729803696,
