point,eta_s,delta_pi,round,mean_cooperation,std,n,ci95
colapso,0.1,0.4,154,0.05475967006956098,0.0024526260258313126,11,0.0014494093587578392
colapso,0.1,0.4,155,0.05557244881473739,0.0021669074144436994,11,0.0012805604494847123
colapso,0.1,0.4,156,0.05455339835540321,0.002174854901805364,11,0.0012852571143815556
colapso,0.1,0.4,157,0.05486010351658248,0.001890916438573766,11,0.0011174602054420018
colapso,0.1,0.4,158,0.05485666426619644,0.0017652895560276525,11,0.0010432194621096825
colapso,0.1,0.4,159,0.05413599253986676,0.0016753461154520573,11,0.0009900662854100428
colapso,0.1,0.4,160,0.05383767891397415,0.0018875359973872055,11,0.001115462492361847
colapso,0.1,0.4,161,0.0539523858162819,0.002012117347517614,11,0.0011890853655206269
colapso,0.1,0.4,162,0.054436758924377784,0.002824324948666495,11,0.0016690693850820381
colapso,0.1,0.4,163,0.054907885435811994,0.002612502805165962,11,0.0015438904976575862
colapso,0.1,0.4,164,0.054802283457668126,0.0026271937093236045,11,0.0015525722672182283
colapso,0.1,0.4,165,0.05480516646644191,0.0022950987699612104,11,0.0013563166994967609
colapso,0.1,0.4,166,0.054530357624979375,0.002326342865148143,11,0.0013747807798306193
colapso,0.1,0.4,167,0.05427016232271555,0.0018195776721905853,11,0.0010753016885914866
colapso,0.1,0.4,168,0.05488337788384938,0.00265632807216617,11,0.001569789575409822
colapso,0.1,0.4,169,0.054481966967473226,0.0018890310479669735,11,0.0011163460107944615
colapso,0.1,0.4,170,0.054333558279871345,0.001852822676090771,11,0.0010949482304113052
colapso,0.1,0.4,171,0.05424332529769253,0.0022581728471592335,11,0.0013344948736145155
colapso,0.1,0.4,172,0.054441636188183984,0.001947870437396465,11,0.001151117867899662
colapso,0.1,0.4,173,0.05503583792548286,0.0017319964519317416,11,0.0010235444948906765
colapso,0.1,0.4,174,0.05494727330995539,0.0022275778917339698,11,0.001316414410365282
colapso,0.1,0.4,175,0.05541488474951624,0.002620495547123586,11,0.0015486139063116185
colapso,0.1,0.4,176,0.05526482481738389,0.002614478572971683,11,0.001545058101816632
colapso,0.1,0.4,177,0.05523889163364755,0.0023614405695953854,11,0.0013955221977072017
colapso,0.1,0.4,178,0.055950788589766584,0.0023029869109269206,11,0.0013609782929147895
colapso,0.1,0.4,179,0.05541187944023518,0.001935824223885565,11,0.0011439990106354872
colapso,0.1,0.4,180,0.05548844262973965,0.001866853625012735,11,0.0011032399913506253
colapso,0.1,0.4,181,0.05495258635854912,0.0026664951324212923,11,0.0015757979240653551
colapso,0.1,0.4,182,0.055951745843248114,0.0020100498153859422,11,0.00118786353211039
colapso,0.1,0.4,183,0.05563865138307889,0.002337396204035737,11,0.0013813128856879605
