run_id,seed,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,expected_global_cooperation,observed_global_cooperation,num_intercommunity_edges,corr_size_cooperation,corr_degree_cooperation,intercommunity_mutual_coop_rate,mean_external_payoff,corr_climate_cooperation,std_climate,avg_degree,channel,b,Tin,social_adaptation_rate,epsilon_perception,epsilon_execution,delta_D,delta_pi,rho,num_epochs,rounds_per_epoch,het_b_lo,het_b_hi,spread,eta_s,rho_s
5,501000,0.1895360068999074,0.0530335439088038,2.3837957393223603,0.2509598057908938,0.2,157,0.0040649202379386,-0.0189683106280824,0.0318471337579617,0.805,0.2409238549404418,0.2268629677972047,3.14,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.25,10,120,1.5,3.5,1.0,0.1,0.25
0,1000,0.1900132077768998,0.0492912199197005,2.370773216819467,0.2748388937258925,0.26,156,0.0536103316698775,0.0828870696263109,0.0705128205128205,1.24,-0.0553004568197056,0.2608526988801092,3.12,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.25,10,120,1.5,3.5,1.0,0.1,0.25
8,801000,0.1856784878949994,0.0432112807371352,2.365881243096784,0.2644811360324325,0.28,151,0.0319646378581735,0.0164002784538246,0.086092715231788,1.055,-0.0169492576160567,0.2602201992451208,3.02,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.25,10,120,1.5,3.5,1.0,0.1,0.25
9,901000,0.1833063035653898,0.0455918674899475,2.322509118804321,0.241520626896171,0.24,146,0.0373206794936337,0.0292733468716005,0.0821917808219178,1.05,-0.1419499339959742,0.3018114768336367,2.92,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.25,10,120,1.5,3.5,1.0,0.1,0.25
1,101000,0.1879811408083752,0.0402260884198122,2.360411103121093,0.3029001728949065,0.32,164,0.1936152844293486,0.2066086872834997,0.1097560975609756,1.32,0.0352527010364651,0.2952021874299214,3.28,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.25,10,120,1.5,3.5,1.0,0.1,0.25
3,301000,0.1791689096482996,0.0516560087738774,2.261289073862885,0.2457426443550946,0.34,164,0.0232310415852247,-0.1084059060179607,0.1524390243902439,1.565,-0.0239185215656538,0.2685028567212973,3.28,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.25,10,120,1.5,3.5,1.0,0.1,0.25
7,701000,0.1861438612575428,0.0473633330044298,2.348117191455884,0.260999214586097,0.32,137,0.2152018930463829,0.0210726232654955,0.0802919708029197,1.06,0.0054151604754716,0.294049327363189,2.74,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.25,10,120,1.5,3.5,1.0,0.1,0.25
4,401000,0.1965064367386594,0.0417956526995781,2.474426552604703,0.3012445469319029,0.35,155,0.0231375395759075,0.0891092113646337,0.064516129032258,1.445,-0.2116330918523281,0.3159193090366841,3.1,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.25,10,120,1.5,3.5,1.0,0.1,0.25
2,201000,0.1899468808250473,0.0481778848700734,2.388138697348582,0.2880910412713641,0.27,152,0.0171394794727194,-0.140481532783766,0.0921052631578947,1.18,0.0953640322700759,0.3302868505510959,3.04,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.25,10,120,1.5,3.5,1.0,0.1,0.25
6,601000,0.1936423398839511,0.0432202302529327,2.398651914915153,0.2973253375897149,0.33,165,-0.0835936878048325,0.0197296977517943,0.0787878787878787,1.52,-0.242857689504614,0.2864980958020742,3.3,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.25,10,120,1.5,3.5,1.0,0.1,0.25
